,Bins1,Bins2,Name,Numbers1,Numbers2
0,"[  7.00000000e+00   1.59741902e+03   3.18783804e+03   4.77825706e+03
   6.36867608e+03   7.95909511e+03   9.54951413e+03   1.11399331e+04
   1.27303522e+04   1.43207712e+04   1.59111902e+04   1.75016092e+04
   1.90920283e+04   2.06824473e+04   2.22728663e+04   2.38632853e+04
   2.54537043e+04   2.70441234e+04   2.86345424e+04   3.02249614e+04
   3.18153804e+04   3.34057994e+04   3.49962185e+04   3.65866375e+04
   3.81770565e+04   3.97674755e+04   4.13578945e+04   4.29483136e+04
   4.45387326e+04   4.61291516e+04   4.77195706e+04]","[    47719.5706336    1095478.85161248   2143238.13259136
   3190997.41357024   4238756.69454912   5286515.975528     6334275.25650688
   7382034.53748576   8429793.81846464   9477553.09944352  10525312.3804224
  11573071.66140128  12620830.94238016  13668590.22335904
  14716349.50433792  15764108.7853168   16811868.06629568
  17859627.34727456  18907386.62825345  19955145.90923233
  21002905.19021121  22050664.47119009  23098423.75216897
  24146183.03314785  25193942.31412673  26241701.59510561
  27289460.87608449  28337220.15706337  29384979.43804225
  30432738.71902113]",world_Population,"[ 4070.  6077.  4782.  3221.  2164.  1980.  2186.  1981.  1564.  1391.
  1224.  1072.   958.   832.   822.   675.   631.   576.   503.   457.
   439.   411.   389.   355.   319.   305.   269.   259.   236.   233.]","[  7.35100000e+03   1.53000000e+02   3.80000000e+01   2.40000000e+01
   8.00000000e+00   3.00000000e+00   2.00000000e+00   6.00000000e+00
   3.00000000e+00   5.00000000e+00   2.00000000e+00   1.00000000e+00
   1.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]"
1,"[  9.50803602e-04   8.69947454e-01   1.73894410e+00   2.60794075e+00
   3.47693741e+00   4.34593406e+00   5.21493071e+00   6.08392736e+00
   6.95292401e+00   7.82192066e+00   8.69091731e+00   9.55991396e+00
   1.04289106e+01   1.12979073e+01   1.21669039e+01   1.30359006e+01
   1.39048972e+01   1.47738939e+01   1.56428905e+01   1.65118872e+01
   1.73808838e+01   1.82498805e+01   1.91188771e+01   1.99878738e+01
   2.08568704e+01   2.17258671e+01   2.25948637e+01   2.34638604e+01
   2.43328570e+01   2.52018537e+01   2.60708503e+01]","[   26.07085032   156.51904215   286.96723399   417.41542583   547.86361766
   678.3118095    808.76000133   939.20819317  1069.656385    1200.10457684
  1330.55276868  1461.00096051  1591.44915235  1721.89734418  1852.34553602
  1982.79372786  2113.24191969  2243.69011153  2374.13830336  2504.5864952
  2635.03468704  2765.48287887  2895.93107071  3026.37926254  3156.82745438
  3287.27564622  3417.72383805  3548.17202989  3678.62022172  3809.06841356]",world_AREA,"[  436.   965.  1524.  1691.  1500.  1640.  1395.  1207.  1104.   976.
   913.   801.   736.   640.   559.   487.   574.   368.   306.   345.
   291.   279.   245.   265.   276.   224.   161.   183.   140.   200.]","[  3.42400000e+03   2.66000000e+02   8.00000000e+01   8.70000000e+01
   2.40000000e+01   4.70000000e+01   4.00000000e+00   9.00000000e+00
   1.00000000e+01   9.00000000e+00   1.50000000e+01   0.00000000e+00
   1.00000000e+00   2.00000000e+00   2.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   5.00000000e+00   2.00000000e+00
   0.00000000e+00   1.00000000e+00   0.00000000e+00   1.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]"
2,"[  1.75327035e-01   8.72096626e+02   1.74401793e+03   2.61593923e+03
   3.48786052e+03   4.35978182e+03   5.23170312e+03   6.10362442e+03
   6.97554572e+03   7.84746702e+03   8.71938832e+03   9.59130962e+03
   1.04632309e+04   1.13351522e+04   1.22070735e+04   1.30789948e+04
   1.39509161e+04   1.48228374e+04   1.56947587e+04   1.65666800e+04
   1.74386013e+04   1.83105226e+04   1.91824439e+04   2.00543652e+04
   2.09262865e+04   2.17982078e+04   2.26701291e+04   2.35420504e+04
   2.44139717e+04   2.52858930e+04   2.61578143e+04]","[  2.61578143e+04   5.07318469e+06   1.01202116e+07   1.51672384e+07
   2.02142653e+07   2.52612922e+07   3.03083191e+07   3.53553460e+07
   4.04023728e+07   4.54493997e+07   5.04964266e+07   5.55434535e+07
   6.05904803e+07   6.56375072e+07   7.06845341e+07   7.57315610e+07
   8.07785879e+07   8.58256147e+07   9.08726416e+07   9.59196685e+07
   1.00966695e+08   1.06013722e+08   1.11060749e+08   1.16107776e+08
   1.21154803e+08   1.26201830e+08   1.31248857e+08   1.36295884e+08
   1.41342910e+08   1.46389937e+08   1.51436964e+08]",world_Density,"[ 7758.  3905.  2310.  1481.  1086.   832.   634.   542.   455.   326.
   336.   250.   255.   226.   221.   191.   182.   156.   143.   138.
   121.   113.   110.    97.    96.   100.    77.    59.    66.    65.]","[  2.08000000e+03   8.00000000e+00   1.00000000e+00   1.00000000e+00
   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00]"
3,"[  7.00000000e+00   7.60750932e+02   1.51450186e+03   2.26825280e+03
   3.02200373e+03   3.77575466e+03   4.52950559e+03   5.28325652e+03
   6.03700746e+03   6.79075839e+03   7.54450932e+03   8.29826025e+03
   9.05201118e+03   9.80576212e+03   1.05595130e+04   1.13132640e+04
   1.20670149e+04   1.28207658e+04   1.35745168e+04   1.43282677e+04
   1.50820186e+04   1.58357696e+04   1.65895205e+04   1.73432714e+04
   1.80970224e+04   1.88507733e+04   1.96045242e+04   2.03582752e+04
   2.11120261e+04   2.18657770e+04   2.26195280e+04]","[    22619.52795839    367908.47702644    713197.42609449
   1058486.37516255   1403775.3242306    1749064.27329866
   2094353.22236671   2439642.17143476   2784931.12050282
   3130220.06957087   3475509.01863892   3820797.96770698
   4166086.91677503   4511375.86584309   4856664.81491114
   5201953.76397919   5547242.71304725   5892531.6621153    6237820.61118335
   6583109.56025141   6928398.50931946   7273687.45838751
   7618976.40745557   7964265.35652362   8309554.30559168
   8654843.25465973   9000132.20372778   9345421.15279584
   9690710.10186389  10035999.05093195]",Europe_Population,"[ 1205.  1271.  1371.  1499.  1592.  1230.  1116.   860.   666.   517.
   497.   410.   486.   495.   510.   478.   407.   364.   290.   302.
   248.   253.   242.   228.   217.   195.   180.   146.   146.   167.]","[  3.81000000e+03   7.80000000e+01   2.40000000e+01   1.60000000e+01
   7.00000000e+00   1.00000000e+00   1.00000000e+00   2.00000000e+00
   1.00000000e+00   1.00000000e+00   0.00000000e+00   1.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]"
4,"[  9.50803602e-04   7.07706663e-01   1.41446252e+00   2.12121838e+00
   2.82797424e+00   3.53473010e+00   4.24148596e+00   4.94824182e+00
   5.65499768e+00   6.36175354e+00   7.06850940e+00   7.77526526e+00
   8.48202112e+00   9.18877698e+00   9.89553284e+00   1.06022887e+01
   1.13090446e+01   1.20158004e+01   1.27225563e+01   1.34293121e+01
   1.41360680e+01   1.48428239e+01   1.55495797e+01   1.62563356e+01
   1.69630914e+01   1.76698473e+01   1.83766032e+01   1.90833590e+01
   1.97901149e+01   2.04968707e+01   2.12036266e+01]","[   21.2036266    107.09851839   192.99341019   278.88830199   364.78319379
   450.67808558   536.57297738   622.46786918   708.36276098   794.25765277
   880.15254457   966.04743637  1051.94232817  1137.83721996  1223.73211176
  1309.62700356  1395.52189536  1481.41678715  1567.31167895  1653.20657075
  1739.10146255  1824.99635434  1910.89124614  1996.78613794  2082.68102974
  2168.57592153  2254.47081333  2340.36570513  2426.26059693  2512.15548872
  2598.05038052]",Europe_AREA,"[  49.   54.  132.  215.  284.  324.  400.  426.  427.  441.  437.  399.
  375.  359.  293.  287.  265.  204.  186.  257.  221.  158.  135.  125.
  143.  116.  107.  115.  105.  109.]","[  1.97300000e+03   1.28000000e+02   3.80000000e+01   1.10000000e+01
   1.00000000e+01   5.00000000e+00   2.00000000e+00   2.00000000e+00
   3.00000000e+00   1.00000000e+00   2.00000000e+00   0.00000000e+00
   0.00000000e+00   2.00000000e+00   1.00000000e+00   1.00000000e+00
   2.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   1.00000000e+00]"
5,"[  2.01830929e+00   4.63564077e+02   9.25109844e+02   1.38665561e+03
   1.84820138e+03   2.30974715e+03   2.77129291e+03   3.23283868e+03
   3.69438445e+03   4.15593022e+03   4.61747598e+03   5.07902175e+03
   5.54056752e+03   6.00211328e+03   6.46365905e+03   6.92520482e+03
   7.38675059e+03   7.84829635e+03   8.30984212e+03   8.77138789e+03
   9.23293366e+03   9.69447942e+03   1.01560252e+04   1.06175710e+04
   1.10791167e+04   1.15406625e+04   1.20022083e+04   1.24637540e+04
   1.29252998e+04   1.33868456e+04   1.38483913e+04]","[  1.38483913e+04   1.00058680e+06   1.98732520e+06   2.97406361e+06
   3.96080201e+06   4.94754042e+06   5.93427882e+06   6.92101723e+06
   7.90775563e+06   8.89449404e+06   9.88123244e+06   1.08679708e+07
   1.18547093e+07   1.28414477e+07   1.38281861e+07   1.48149245e+07
   1.58016629e+07   1.67884013e+07   1.77751397e+07   1.87618781e+07
   1.97486165e+07   2.07353549e+07   2.17220933e+07   2.27088317e+07
   2.36955701e+07   2.46823085e+07   2.56690469e+07   2.66557853e+07
   2.76425237e+07   2.86292621e+07]",Europe_Density,"[ 2457.  1953.   945.   660.   523.   408.   279.   236.   227.   163.
   124.    97.   111.    94.    66.    59.    55.    49.    48.    33.
    23.    34.    28.    24.    28.    23.    26.    26.    18.    19.]","[ 479.    8.    2.    0.    1.    0.    1.    0.    0.    2.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
    0.    0.    0.    0.    0.]"
6,"[    95.           2962.38395359   5829.76790718   8697.15186078
  11564.53581437  14431.91976796  17299.30372155  20166.68767515
  23034.07162874  25901.45558233  28768.83953592  31636.22348951
  34503.60744311  37370.9913967   40238.37535029  43105.75930388
  45973.14325747  48840.52721107  51707.91116466  54575.29511825
  57442.67907184  60310.06302544  63177.44697903  66044.83093262
  68912.21488621  71779.5988398   74646.9827934   77514.36674699
  80381.75070058  83249.13465417  86116.51860776]","[    86116.51860776   1132595.90132084   2179075.28403391
   3225554.66674699   4272034.04946006   5318513.43217314
   6364992.81488621   7411472.19759929   8457951.58031236
   9504430.96302543  10550910.34573851  11597389.72845158
  12643869.11116466  13690348.49387773  14736827.8765908   15783307.25930388
  16829786.64201695  17876266.02473003  18922745.4074431   19969224.79015618
  21015704.17286925  22062183.55558233  23108662.93829541
  24155142.32100848  25201621.70372156  26248101.08643463
  27294580.46914771  28341059.85186078  29387539.23457386
  30434018.61728694]",Asia_Population,"[ 1827.  1646.   619.   502.   438.   414.   368.   347.   324.   287.
   243.   218.   194.   193.   164.   137.   136.   128.   110.   138.
   127.   111.   117.   114.    81.    79.    88.    75.    75.    53.]","[  1.73400000e+03   6.90000000e+01   1.80000000e+01   1.20000000e+01
   5.00000000e+00   2.00000000e+00   1.00000000e+00   1.00000000e+00
   1.00000000e+00   3.00000000e+00   2.00000000e+00   1.00000000e+00
   1.00000000e+00   1.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]"
7,"[  0.02560226   0.80328957   1.58097687   2.35866418   3.13635148
   3.91403878   4.69172609   5.46941339   6.2471007    7.024788
   7.80247531   8.58016261   9.35784991  10.13553722  10.91322452
  11.69091183  12.46859913  13.24628644  14.02397374  14.80166104
  15.57934835  16.35703565  17.13472296  17.91241026  18.69009757
  19.46778487  20.24547217  21.02315948  21.80084678  22.57853409
  23.35622139]","[   23.35622139   153.89490086   284.43358032   414.97225979   545.51093926
   676.04961873   806.58829819   937.12697766  1067.66565713  1198.20433659
  1328.74301606  1459.28169553  1589.82037499  1720.35905446  1850.89773393
  1981.43641339  2111.97509286  2242.51377233  2373.05245179  2503.59113126
  2634.12981073  2764.66849019  2895.20716966  3025.74584913  3156.28452859
  3286.82320806  3417.36188753  3547.90056699  3678.43924646  3808.97792593]",Asia_AREA,"[ 111.  252.  393.  455.  311.  294.  304.  161.  178.  147.  104.  128.
   90.   82.   99.   52.   59.   55.   46.   24.   21.   29.   24.   14.
   19.   24.   15.   24.   21.   19.]","[ 456.   42.    7.   23.    3.   27.    0.    0.    1.    0.    0.    0.
    0.    1.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
    0.    0.    0.    0.    0.]"
8,"[  1.02906026e+00   1.03956711e+03   2.07810515e+03   3.11664320e+03
   4.15518124e+03   5.19371929e+03   6.23225734e+03   7.27079538e+03
   8.30933343e+03   9.34787147e+03   1.03864095e+04   1.14249476e+04
   1.24634856e+04   1.35020237e+04   1.45405617e+04   1.55790997e+04
   1.66176378e+04   1.76561758e+04   1.86947139e+04   1.97332519e+04
   2.07717900e+04   2.18103280e+04   2.28488661e+04   2.38874041e+04
   2.49259422e+04   2.59644802e+04   2.70030183e+04   2.80415563e+04
   2.90800943e+04   3.01186324e+04   3.11571704e+04]","[   31157.17043945   234298.21456924   437439.25869902   640580.30282881
   843721.34695859  1046862.39108838  1250003.43521816  1453144.47934795
  1656285.52347774  1859426.56760752  2062567.61173731  2265708.65586709
  2468849.69999688  2671990.74412666  2875131.78825645  3078272.83238624
  3281413.87651602  3484554.92064581  3687695.96477559  3890837.00890538
  4093978.05303516  4297119.09716495  4500260.14129474  4703401.18542452
  4906542.22955431  5109683.27368409  5312824.31781388  5515965.36194367
  5719106.40607345  5922247.45020324]",Asia_Density,"[ 1083.   397.   201.   148.   129.   111.   117.   100.    92.    88.
    77.    83.    81.    65.    81.    65.    66.    49.    55.    47.
    45.    44.    37.    32.    30.    32.    37.    35.    30.    32.]","[ 569.   22.    8.    4.    5.    3.    2.    2.    1.    2.    0.    1.
    0.    1.    1.    1.    1.    0.    2.    1.    0.    0.    0.    0.
    0.    0.    0.    0.    0.]"
9,"[    191.            4134.49507962    8077.99015924   12021.48523886
   15964.98031848   19908.4753981    23851.97047772   27795.46555734
   31738.96063697   35682.45571659   39625.95079621   43569.44587583
   47512.94095545   51456.43603507   55399.93111469   59343.42619431
   63286.92127393   67230.41635355   71173.91143317   75117.40651279
   79060.90159241   83004.39667203   86947.89175166   90891.38683128
   94834.8819109    98778.37699052  102721.87207014  106665.36714976
  110608.86222938  114552.357309    118495.85238862]","[  118495.85238862   407517.09064233   696538.32889605   985559.56714976
  1274580.80540347  1563602.04365718  1852623.2819109   2141644.52016461
  2430665.75841832  2719686.99667203  3008708.23492575  3297729.47317946
  3586750.71143317  3875771.94968688  4164793.1879406   4453814.42619431
  4742835.66444802  5031856.90270174  5320878.14095545  5609899.37920916
  5898920.61746287  6187941.85571659  6476963.0939703   6765984.33222401
  7055005.57047772  7344026.80873144  7633048.04698515  7922069.28523886
  8211090.52349257  8500111.76174629  8789133.        ]",Africa_Population,"[ 172.  201.  175.  128.  118.  101.   85.   68.   55.   48.   49.   36.
   27.   25.   15.   23.   17.   33.   27.   23.   21.   26.   20.   11.
   11.   12.    9.   11.   11.   11.]","[ 196.   42.   17.    9.    6.    3.    5.    0.    3.    3.    1.    2.
    4.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
    0.    0.    2.    0.    0.    1.]"
